1,0,776.75,244.78,80.77,183.57,1,12.176,7.7523,0
1,1,1619.1,607.23,115.3,262.04,1,6.3646,-1.6872,0
1,2,1646.3,109.82,80.753,183.53,1,20.183,1.5618,0
1,3,259.25,293.77,80.777,183.58,1,9.0258,11.305,0
1,4,1810.3,171.8,80.761,183.55,1,18.39,-0.49464,0
2,0,799.63,215.42,88.835,201.9,1,12.586,7.6887,0
2,1,1619.2,642.17,115.32,262.1,1,5.9027,-1.8018,0
2,2,1646.3,97.838,80.745,183.51,1,20.697,1.6864,0
2,3,811.37,411.27,104.65,237.85,1,7.4978,4.6003,0
2,4,885.28,72.482,68.038,154.63,1,19.823,10.791,0
3,0,746.09,192.22,87.6,199.09,1,13.133,8.613,0
3,1,1625.9,662.89,120.66,274.22,1,5.5107,-1.9477,0
3,2,1646.3,97.82,80.743,183.51,1,20.698,1.6867,0
3,3,144.89,245.27,120.86,274.69,1,7.8016,11.188,0
3,4,883.74,72.322,68.014,154.58,1,19.826,10.814,0
4,0,697.72,174.18,85.192,193.62,1,13.657,9.5101,0
4,1,1627.4,667.97,121.1,275.23,1,5.44,-1.9739,0
4,2,1646.6,84.273,80.562,183.1,1,21.319,1.8336,0
4,3,0,178.75,108.05,245.56,1,8.0676,17.596,0
4,4,865.61,190.02,81,184.09,1,14.112,7.8555,0
5,0,419.49,177.76,83.157,188.99,1,12.564,12.181,0
5,1,1628.8,673.11,121.55,276.25,1,5.3691,-2.0003,0
5,2,1646.7,82.955,80.385,182.69,1,21.397,1.8525,0
5,3,0,126.11,97.653,221.94,1,8.3343,24.019,0
5,4,852.46,267.87,89.761,204,1,11.329,6.4236,0
6,0,256.58,168.23,81.441,185.09,1,12.299,14.102,0
6,1,1630.3,678.31,122,277.28,1,5.2981,-2.0267,0
6,2,1646.8,81.638,80.209,182.29,1,21.475,1.8714,0
6,4,835.77,367.85,100.65,228.74,1,8.5373,4.9874,0
7,0,80.311,159.37,79.756,181.26,1,11.941,16.226,0
7,2,1646.8,80.325,80.033,181.89,1,21.553,1.8903,0
7,4,619.45,542.91,119.93,272.58,1,4.469,4.2448,0
8,0,942.99,139.92,76.653,174.21,1,16.466,8.2184,0
8,2,1646.9,79.013,79.858,181.49,1,21.632,1.9093,0
